geneId	symbol	chromosome	Synonyms	type_of_gene
523	ATP6V1A	3	ARCL2D|ATP6A1|ATP6V1A1|HO68|VA68|VPP2|Vma1	protein-coding
525	ATP6V1B1	2	ATP6B1|RTA1B|VATB|VMA2|VPP3	protein-coding
526	ATP6V1B2	8	ATP6B1B2|ATP6B2|DOOD|HO57|VATB|VPP3|Vma2|ZLS2	protein-coding
527	ATP6V0C	16	ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3	protein-coding
528	ATP6V1C1	8	ATP6C|ATP6D|VATC|Vma5	protein-coding
529	ATP6V1E1	22	ARCL2C|ATP6E|ATP6E2|ATP6V1E|P31|Vma4	protein-coding
533	ATP6V0B	1	ATP6F|HATPL|VMA16	protein-coding
534	ATP6V1G2	6	ATP6G|ATP6G2|NG38|VMA10	protein-coding
535	ATP6V0A1	17	ATP6N1|ATP6N1A|Stv1|VPP1|Vph1|a1	protein-coding
537	ATP6AP1	X	16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3	protein-coding
538	ATP7A	X	DSMAX|MK|MNK|SMAX3	protein-coding
539	ATP5O	21	ATPO|HMC08D05|OSCP	protein-coding
540	ATP7B	13	PWD|WC1|WD|WND	protein-coding
541	ALDH7A1P1	5	ATQL1	pseudo
542	ALDH7A1P2	2	ATQL2	pseudo
543	ALDH7A1P3	7	ATQL3	pseudo
544	ALDH7A1P4	10	ATQL4	pseudo
545	ATR	3	FCTCS|FRP1|MEC1|SCKL|SCKL1	protein-coding
546	ATRX	X	JMS|MRX52|RAD54|RAD54L|XH2|XNP|ZNF-HX	protein-coding
547	KIF1A	2	ATSV|C2orf20|HSN2C|MRD9|SPG30|UNC104	protein-coding
549	AUH	9	-	protein-coding
550	AUP1	2	-	protein-coding
551	AVP	20	ADH|ARVP|AVP-NPII|AVRP|VP	protein-coding
552	AVPR1A	12	AVPR V1a|AVPR1|V1aR	protein-coding
553	AVPR1B	1	AVPR3	protein-coding
554	AVPR2	X	ADHR|DI1|DIR|DIR3|NDI|V2R	protein-coding
558	AXL	19	ARK|JTK11|Tyro7|UFO	protein-coding
560	AZF1	Y	AZF|AZFA|SP3	unknown
563	AZGP1	7	ZA2G|ZAG	protein-coding
566	AZU1	19	AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC|hHBP	protein-coding
567	B2M	15	IMD43	protein-coding
568	B2MR	15	-	unknown
570	BAAT	9	BACAT|BAT	protein-coding
571	BACH1	21	BACH-1|BTBD24	protein-coding
572	BAD	11	BBC2|BCL2L8	protein-coding
573	BAG1	9	BAG-1|HAP|RAP46	protein-coding
574	BAGE	21	BAGE1|CT2.1	protein-coding
575	ADGRB1	8	BAI1|GDAIF	protein-coding
576	ADGRB2	1	BAI2	protein-coding
577	ADGRB3	6	BAI3	protein-coding
578	BAK1	6	BAK|BAK-LIKE|BCL2L7|CDN1	protein-coding
579	NKX3-2	4	BAPX1|NKX3.2|NKX3B|SMMD	protein-coding
580	BARD1	2	-	protein-coding
581	BAX	19	BCL2L4	protein-coding
582	BBS1	11	BBS2L2	protein-coding
583	BBS2	16	BBS|RP74	protein-coding
585	BBS4	15	-	protein-coding
586	BCAT1	12	BCATC|BCT1|ECA39|MECA39|PNAS121|PP18	protein-coding
587	BCAT2	19	BCAM|BCATM|BCT2|PP18	protein-coding
590	BCHE	3	CHE1|CHE2|E1	protein-coding
593	BCKDHA	19	BCKDE1A|MSU|MSUD1|OVD1A	protein-coding
594	BCKDHB	6	BCKDE1B|BCKDH E1-beta|E1B	protein-coding
595	CCND1	11	BCL1|D11S287E|PRAD1|U21B31	protein-coding
596	BCL2	18	Bcl-2|PPP1R50	protein-coding
597	BCL2A1	15	ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1	protein-coding
598	BCL2L1	20	BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52	protein-coding
599	BCL2L2	14	BCL-W|BCL2-L-2|BCLW|PPP1R51	protein-coding
600	BAK1P1	20	BAK2|BCL2L7P1|Bak-2	pseudo
601	BAK1P2	11	BAK3|BAK3P|BCL2L7P2	pseudo
602	BCL3	19	BCL4|D19S37	protein-coding
603	BCL5	17	-	unknown
604	BCL6	3	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	protein-coding
605	BCL7A	12	BCL7	protein-coding
606	NBEAP1	15	BCL8|BCL8A	pseudo
607	BCL9	1	LGS	protein-coding
608	TNFRSF17	16	BCM|BCMA|CD269|TNFRSF13A	protein-coding
610	HCN2	19	BCNG-2|BCNG2|HAC-1	protein-coding
611	OPN1SW	7	BCP|BOP|CBT	protein-coding
613	BCR	22	ALL|BCR1|CML|D22S11|D22S662|PHL	protein-coding
616	BCRP4	22	BCR-4|BCR4|BCRL4	pseudo
617	BCS1L	2	BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|h-BCS1	protein-coding
618	BCYRN1	2	BC200|BC200a|LINC00004|NCRNA00004	ncRNA
619	BCYRN1P1	X	BC200b	pseudo
620	BCYRN1P2	1	BC200g	pseudo
622	BDH1	3	BDH|SDR9C1	protein-coding
623	BDKRB1	14	B1BKR|B1R|BDKRB2|BKB1R|BKR1|BRADYB1	protein-coding
624	BDKRB2	14	B2R|BK-2|BK2|BKR2|BRB2	protein-coding
627	BDNF	11	ANON2|BULN2	protein-coding
628	BEVI	6	-	unknown
629	CFB	6	AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2	protein-coding
631	BFSP1	20	CP115|CP94|CTRCT33|LIFL-H	protein-coding
632	BGLAP	1	BGP|OC|OCN	protein-coding
633	BGN	X	DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A	protein-coding
634	CEACAM1	19	BGP|BGP1|BGPI	protein-coding
635	BHMT	5	BHMT1|HEL-S-61p	protein-coding
636	BICD1	12	BICD	protein-coding
637	BID	22	FP497	protein-coding
638	BIK	22	BIP1|BP4|NBK	protein-coding
639	PRDM1	6	BLIMP1|PRDI-BF1	protein-coding
640	BLK	8	MODY11	protein-coding
641	BLM	15	BS|RECQ2|RECQL2|RECQL3	protein-coding
642	BLMH	17	BH|BMH	protein-coding
643	CXCR5	11	BLR1|CD185|MDR15	protein-coding
644	BLVRA	7	BLVR|BVR|BVRA	protein-coding
645	BLVRB	19	BVRB|FLR|HEL-S-10|SDR43U1	protein-coding
646	BNC1	15	BNC|BSN1|HsT19447	protein-coding
648	BMI1	10	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	protein-coding
649	BMP1	8	OI13|PCOLC|PCP|PCP2|TLD	protein-coding
650	BMP2	20	BDA2|BMP2A	protein-coding
651	BMP3	4	BMP-3A	protein-coding
652	BMP4	14	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	protein-coding
653	BMP5	6	-	protein-coding
654	BMP6	6	VGR|VGR1	protein-coding
655	BMP7	20	OP-1	protein-coding
656	BMP8B	1	BMP8|OP2	protein-coding
657	BMPR1A	10	10q23del|ACVRLK3|ALK3|CD292|SKR5	protein-coding
658	BMPR1B	4	ALK-6|ALK6|AMDD|BDA1D|BDA2|CDw293	protein-coding
659	BMPR2	2	BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK	protein-coding
660	BMX	X	ETK|PSCTK2|PSCTK3	protein-coding
661	POLR3D	8	BN51T|RPC4|RPC53|TSBN51	protein-coding
662	BNIP1	5	NIP1|SEC20|TRG-8	protein-coding
663	BNIP2	15	BNIP-2|NIP2	protein-coding
664	BNIP3	10	NIP3	protein-coding
665	BNIP3L	8	BNIP3a|NIX	protein-coding
666	BOK	2	BCL2L9|BOKL	protein-coding
667	DST	6	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBSB2|HSAN6|MACF2	protein-coding
668	FOXL2	3	BPES|BPES1|PFRK|PINTO|POF3	protein-coding
669	BPGM	7	DPGM	protein-coding
670	BPHL	6	BPH-RP|MCNAA|VACVASE	protein-coding
671	BPI	20	BPIFD1|rBPI	protein-coding
672	BRCA1	17	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	protein-coding
673	BRAF	7	B-RAF1|B-raf|BRAF1|NS7|RAFB1	protein-coding
675	BRCA2	13	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11	protein-coding
676	BRDT	1	BRD6|CT9	protein-coding
677	ZFP36L1	14	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1	protein-coding
678	ZFP36L2	2	BRF2|ERF-2|ERF2|RNF162C|TIS11D	protein-coding
680	BRS3	X	BB3|BB3R	protein-coding
682	BSG	19	5F7|CD147|EMMPRIN|OK|TCSF	protein-coding
683	BST1	4	CD157	protein-coding
684	BST2	19	CD317|TETHERIN	protein-coding
685	BTC	4	-	protein-coding
686	BTD	3	-	protein-coding
687	KLF9	9	BTEB|BTEB1	protein-coding
688	KLF5	13	BTEB2|CKLF|IKLF	protein-coding
689	BTF3	5	BETA-NAC|BTF3a|BTF3b|NACB	protein-coding
690	BTF3P11	13	BTF3L1|HUMBTFB|OCIF|OPG|TNFRSF11B	pseudo
693	BTF3P1	8	HUMBTFA	pseudo
694	BTG1	12	APRO2	protein-coding
695	BTK	X	AGMX1|AT|ATK|BPK|IMD1|PSCTK1|XLA	protein-coding
696	BTN1A1	6	BT|BTN|BTN1	protein-coding
698	BTS1	10	-	unknown
699	BUB1	2	BUB1A|BUB1L|hBUB1	protein-coding
700	BVR1	8	-	other
701	BUB1B	15	BUB1beta|BUBR1|Bub1A|MAD3L|MVA1|SSK1|hBUBR1	protein-coding
705	BYSL	6	BYSTIN	protein-coding
706	TSPO	22	BPBS|BZRP|DBI|IBP|MBR|PBR|PBS|PKBS|PTBR|mDRC|pk18	protein-coding
708	C1QBP	17	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	protein-coding
710	SERPING1	11	C1IN|C1INH|C1NH|HAE1|HAE2	protein-coding
711	ERC2-IT1	3	C1orf1|C3orf51|Po42	ncRNA
712	C1QA	1	-	protein-coding
713	C1QB	1	-	protein-coding
714	C1QC	1	C1Q-C|C1QG	protein-coding
715	C1R	12	EDSPD1	protein-coding
716	C1S	12	EDSPD2	protein-coding
717	C2	6	ARMD14|CO2	protein-coding
718	C3	19	AHUS5|ARMD9|ASP|C3a|C3b|CPAMD1|HEL-S-62p	protein-coding
719	C3AR1	12	AZ3B|C3AR|HNFAG09	protein-coding
720	C4A	6	C4|C4A2|C4A3|C4A4|C4A6|C4AD|C4S|CO4|CPAMD2|RG	protein-coding
721	C4B	6	C4B1|C4B12|C4B2|C4B3|C4B5|C4BD|C4B_2|C4F|CH|CO4|CPAMD3	protein-coding
722	C4BPA	1	C4BP|PRP	protein-coding
724	C4BPAP2	1	C4BPAL2	pseudo
725	C4BPB	1	C4BP	protein-coding
726	CAPN5	11	ADNIV|HTRA3|VRNI|nCL-3	protein-coding
727	C5	9	C5D|C5a|C5b|CPAMD4|ECLZB	protein-coding
728	C5AR1	19	C5A|C5AR|C5R1|CD88	protein-coding
729	C6	5	-	protein-coding
730	C7	5	-	protein-coding
731	C8A	1	-	protein-coding
732	C8B	1	C82	protein-coding
733	C8G	9	C8C	protein-coding
734	OSGIN2	8	C8orf1|hT41	protein-coding
735	C9	5	ARMD15|C9D	protein-coding
738	VPS51	11	ANG2|ANG3|C11orf2|C11orf3|FFR	protein-coding
740	MRPL49	11	C11orf4|L49mt|MRP-L49|NOF|NOF1	protein-coding
741	ZNHIT2	11	C11orf5|FON	protein-coding
744	MPPED2	11	239FB|C11orf8	protein-coding
745	MYRF	11	C11orf9|MRF|Ndt80|pqn-47	protein-coding
746	TMEM258	11	C11orf10	protein-coding
747	DAGLA	11	C11orf11|DAGL(ALPHA)|DAGLALPHA|NSDDR	protein-coding
750	GAS8-AS1	16	C16orf3	ncRNA
752	FMNL1	17	C17orf1|C17orf1B|FHOD4|FMNL|KW-13	protein-coding
753	LDLRAD4	18	C18orf1	protein-coding
754	PTTG1IP	21	C21orf1|C21orf3|PBF	protein-coding
755	C21orf2	21	LRRC76|YF5/A2	protein-coding
757	TMEM50B	21	C21orf4|HCVP7TP3	protein-coding
758	MPPED1	22	239AB|C22orf1|FAM1A	protein-coding
759	CA1	8	CA-I|CAB|Car1|HEL-S-11	protein-coding
760	CA2	8	CA-II|CAC|CAII|Car2|HEL-76|HEL-S-282	protein-coding
761	CA3	8	CAIII|Car3	protein-coding
762	CA4	17	CAIV|Car4|RP17	protein-coding
763	CA5A	16	CA5|CA5AD|CAV|CAVA|GS1-21A4.1	protein-coding
764	CA5AP1	16	CA5P	pseudo
765	CA6	1	CA-VI|GUSTIN	protein-coding
766	CA7	16	CAVII	protein-coding
767	CA8	8	CA-RP|CA-VIII|CALS|CAMRQ3|CARP	protein-coding
768	CA9	9	CAIX|MN	protein-coding
770	CA11	19	CARPX1	protein-coding
771	CA12	15	CA-XII|CAXII|HsT18816|T18816	protein-coding
772	CACD	17	-	unknown
773	CACNA1A	19	APCA|BI|CACNL1A4|CAV2.1|EA2|EIEE42|FHM|HPCA|MHP|MHP1|SCA6	protein-coding
774	CACNA1B	9	BIII|CACNL1A5|CACNN|Cav2.2|DYT23	protein-coding
775	CACNA1C	12	CACH2|CACN2|CACNL1A1|CCHL1A1|CaV1.2|LQT8|TS	protein-coding
776	CACNA1D	3	CACH3|CACN4|CACNL1A2|CCHL1A2|Cav1.3|PASNA|SANDD	protein-coding
777	CACNA1E	1	BII|CACH6|CACNL1A6|Cav2.3|gm139	protein-coding
778	CACNA1F	X	AIED|COD3|COD4|CORDX|CORDX3|CSNB2|CSNB2A|CSNBX2|Cav1.4|Cav1.4alpha1|JM8|JMC8|OA2	protein-coding
779	CACNA1S	1	CACNL1A3|CCHL1A3|Cav1.1|HOKPP|HOKPP1|MHS5|TTPP1|hypoPP	protein-coding
780	DDR1	6	CAK|CD167|DDR|EDDR1|HGK2|MCK10|NEP|NTRK4|PTK3|PTK3A|RTK6|TRKE	protein-coding
781	CACNA2D1	7	CACNA2|CACNL2A|CCHL2A|LINC01112|lncRNA-N3	protein-coding
782	CACNB1	17	CAB1|CACNLB1|CCHLB1	protein-coding
783	CACNB2	10	CACNLB2|CAVB2|MYSB	protein-coding
784	CACNB3	12	CAB3|CACNLB3	protein-coding
785	CACNB4	2	CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6	protein-coding
786	CACNG1	17	CACNLG	protein-coding
788	SLC25A20	3	CAC|CACT	protein-coding
789	SLC25A20P1	6	CACTP|SLC25A20P	pseudo
790	CAD	2	CDG1Z|EIEE50|GATD4	protein-coding
793	CALB1	8	CALB|D-28K	protein-coding
794	CALB2	16	CAB29|CAL2|CR	protein-coding
795	S100G	X	CABP|CABP1|CABP9K|CALB3	protein-coding
796	CALCA	11	CALC1|CGRP|CGRP-I|CGRP1|CT|KC|PCT	protein-coding
797	CALCB	11	CALC2|CGRP-II|CGRP2	protein-coding
798	CALCP	11	CALC3	pseudo
799	CALCR	7	CRT|CT-R|CTR|CTR1	protein-coding
800	CALD1	7	CDM|H-CAD|HCAD|L-CAD|LCAD|NAG22	protein-coding
801	CALM1	14	CALML2|CAMI|CPVT4|DD132|LQT14|PHKD|caM	protein-coding
802	CALM1P1	X	CALML1	pseudo
804	CALM1P2	7	-	pseudo
805	CALM2	2	CAMII|LQT15|PHKD|PHKD2|caM	protein-coding
806	CALM2P2	10	-	pseudo
807	CALM2P3	13	-	pseudo
808	CALM3	19	CaM|CaMIII|HEL-S-72|PHKD|PHKD3	protein-coding
810	CALML3	10	CLP	protein-coding
811	CALR	19	CRT|HEL-S-99n|RO|SSA|cC1qR	protein-coding
813	CALU	7	-	protein-coding
814	CAMK4	5	CaMK IV|CaMK-GR|caMK	protein-coding
815	CAMK2A	5	CAMKA	protein-coding
816	CAMK2B	7	CAM2|CAMK2|CAMKB	protein-coding
817	CAMK2D	4	CAMKD	protein-coding
818	CAMK2G	10	CAMK|CAMK-II|CAMKG	protein-coding
819	CAMLG	5	CAML|GET2	protein-coding
820	CAMP	3	CAP-18|CAP18|CRAMP|FALL-39|FALL39|HSD26|LL37	protein-coding
821	CANX	5	CNX|IP90|P90	protein-coding
822	CAPG	2	AFCP|HEL-S-66|MCP	protein-coding
823	CAPN1	11	CANP|CANP1|CANPL1|SPG76|muCANP|muCL	protein-coding
824	CAPN2	1	CANP2|CANPL2|CANPml|mCANP	protein-coding
825	CAPN3	15	CANP3|CANPL3|LGMD2|LGMD2A|nCL-1|p94	protein-coding
826	CAPNS1	19	CALPAIN4|CANP|CANPS|CAPN4|CDPS|CSS1	protein-coding
827	CAPN6	X	CANPX|CAPNX|CalpM|DJ914P14.1	protein-coding
828	CAPS	19	CAPS1	protein-coding
829	CAPZA1	1	CAPPA1|CAPZ|CAZ1	protein-coding
830	CAPZA2	7	CAPPA2|CAPZ	protein-coding
831	CAST	5	BS-17|PLACK	protein-coding
832	CAPZB	1	CAPB|CAPPB|CAPZ	protein-coding
833	CARS	11	CARS1|CYSRS|MGC:11246	protein-coding
834	CASP1	11	ICE|IL1BC|P45	protein-coding
835	CASP2	7	CASP-2|ICH1|NEDD-2|NEDD2|PPP1R57	protein-coding
836	CASP3	4	CPP32|CPP32B|SCA-1	protein-coding
837	CASP4	11	ICE(rel)II|ICEREL-II|ICH-2|Mih1|Mih1/TX|TX	protein-coding
838	CASP5	11	ICE(rel)III|ICEREL-III|ICH-3	protein-coding
839	CASP6	4	MCH2	protein-coding
840	CASP7	10	CASP-7|CMH-1|ICE-LAP3|LICE2|MCH3	protein-coding
841	CASP8	2	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	protein-coding
842	CASP9	1	APAF-3|APAF3|ICE-LAP6|MCH6|PPP1R56	protein-coding
843	CASP10	2	ALPS2|FLICE2|MCH4	protein-coding
844	CASQ1	1	CASQ|PDIB1|VMCQA	protein-coding
845	CASQ2	1	PDIB2	protein-coding
846	CASR	3	CAR|EIG8|FHH|FIH|GPRC2A|HHC|HHC1|HYPOC1|NSHPT|PCAR1	protein-coding
847	CAT	11	-	protein-coding
856	CATR1	7	-	ncRNA
857	CAV1	7	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	protein-coding
858	CAV2	7	CAV	protein-coding
859	CAV3	3	LGMD1C|LQT9|VIP-21|VIP21	protein-coding
860	RUNX2	6	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA	protein-coding
861	RUNX1	21	AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha	protein-coding
862	RUNX1T1	8	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	protein-coding
863	CBFA2T3	16	ETO2|MTG16|MTGR2|RUNX1T3|ZMYND4	protein-coding
864	RUNX3	1	AML2|CBFA3|PEBP2aC	protein-coding
865	CBFB	16	PEBP2B	protein-coding
866	SERPINA6	14	CBG	protein-coding
867	CBL	11	C-CBL|CBL2|FRA11B|NSLL|RNF55	protein-coding
868	CBLB	3	Cbl-b|Nbla00127|RNF56	protein-coding
869	CBLN1	16	-	protein-coding
871	SERPINH1	11	AsTP3|CBP1|CBP2|HSP47|OI10|PIG14|PPROM|RA-A47|SERPINH2|gp46	protein-coding
873	CBR1	21	CBR|SDR21C1|hCBR1	protein-coding
874	CBR3	21	HEL-S-25|SDR21C2|hCBR3	protein-coding
875	CBS	21	HIP4	protein-coding
878	CCA1	17	CTRCT7	unknown
881	CCIN	9	BTBD20|KBTBD14	protein-coding
882	CCAL1	8	CPDD	unknown
883	KYAT1	9	CCBL1|GTK|KAT1|KATI	protein-coding
885	CCK	3	-	protein-coding
886	CCKAR	4	CCK-A|CCK1-R|CCK1R|CCKRA	protein-coding
887	CCKBR	11	CCK-B|CCK2R|GASR	protein-coding
889	KRIT1	7	CAM|CCM1	protein-coding
890	CCNA2	4	CCN1|CCNA	protein-coding
891	CCNB1	5	CCNB	protein-coding
892	CCNC	6	CycC|SRB11|hSRB11	protein-coding
894	CCND2	12	KIAK0002|MPPH3	protein-coding
895	CCND2P1	11	CCND2P	pseudo
896	CCND3	6	-	protein-coding
897	CCND3P1	10	CCND3P	pseudo
898	CCNE1	19	CCNE|pCCNE1	protein-coding
899	CCNF	16	FBX1|FBXO1	protein-coding
900	CCNG1	5	CCNG	protein-coding
901	CCNG2	4	-	protein-coding
902	CCNH	5	CAK|CycH|p34|p37	protein-coding
904	CCNT1	12	CCNT|CYCT1|HIVE1	protein-coding
905	CCNT2	2	CYCT2	protein-coding
907	CCT	X	-	unknown
908	CCT6A	7	CCT-zeta|CCT-zeta-1|CCT6|Cctz|HTR3|MoDP-2|TCP-1-zeta|TCP20|TCPZ|TTCP20	protein-coding
909	CD1A	1	CD1|FCB6|HTA1|R4|T6	protein-coding
910	CD1B	1	CD1|CD1A|R1	protein-coding
911	CD1C	1	BDCA1|CD1|CD1A|R7	protein-coding
912	CD1D	1	CD1A|R3|R3G1	protein-coding
913	CD1E	1	CD1A|R2	protein-coding
914	CD2	1	LFA-2|SRBC|T11	protein-coding
915	CD3D	11	CD3-DELTA|IMD19|T3D	protein-coding
916	CD3E	11	IMD18|T3E|TCRE	protein-coding
917	CD3G	11	CD3-GAMMA|IMD17|T3G	protein-coding
919	CD247	1	CD3-ZETA|CD3H|CD3Q|CD3Z|IMD25|T3Z|TCRZ	protein-coding
920	CD4	12	CD4mut	protein-coding
921	CD5	11	LEU1|T1	protein-coding
922	CD5L	1	AIM|API6|CT-2|PRO229|SP-ALPHA|Spalpha|hAIM	protein-coding
923	CD6	11	TP120	protein-coding
924	CD7	17	GP40|LEU-9|TP41|Tp40	protein-coding
925	CD8A	2	CD8|Leu2|MAL|p32	protein-coding
926	CD8B	2	CD8B1|LEU2|LY3|LYT3|P37	protein-coding
927	CD8B2	2	CD8BP	protein-coding
928	CD9	12	BTCC-1|DRAP-27|MIC3|MRP-1|TSPAN-29|TSPAN29	protein-coding
929	CD14	5	-	protein-coding
930	CD19	16	B4|CVID3	protein-coding
931	MS4A1	11	B1|Bp35|CD20|CVID5|LEU-16|MS4A2|S7	protein-coding
932	MS4A3	11	CD20L|HTM4	protein-coding
933	CD22	19	SIGLEC-2|SIGLEC2	protein-coding
935	CD24P1	1	CD24L1	pseudo
936	CD24P2	15	CD24L2	pseudo
937	CD24P3	20	CD24L3	pseudo
938	CD24P4	Y	CD24L4	pseudo
939	CD27	12	S152|S152. LPFS2|T14|TNFRSF7|Tp55	protein-coding
940	CD28	2	Tp44	protein-coding
941	CD80	3	B7|B7-1|B7.1|BB1|CD28LG|CD28LG1|LAB7	protein-coding
942	CD86	3	B7-2|B7.2|B70|CD28LG2|LAB72	protein-coding
943	TNFRSF8	1	CD30|D1S166E|Ki-1	protein-coding
944	TNFSF8	9	CD153|CD30L|CD30LG|TNLG3A	protein-coding
945	CD33	19	SIGLEC-3|SIGLEC3|p67	protein-coding
946	SIGLEC6	19	CD327|CD33L|CD33L1|CD33L2|CDW327|OBBP1	protein-coding
947	CD34	1	-	protein-coding
948	CD36	7	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	protein-coding
949	SCARB1	12	CD36L1|CLA-1|CLA1|HDLQTL6|SR-BI|SRB1	protein-coding
950	SCARB2	4	AMRF|CD36L2|EPM4|HLGP85|LGP85|LIMP-2|LIMPII|SR-BII	protein-coding
951	CD37	19	GP52-40|TSPAN26	protein-coding
952	CD38	4	ADPRC 1|ADPRC1	protein-coding
953	ENTPD1	10	ATPDase|CD39|NTPDase-1|SPG64	protein-coding
954	ENTPD2	9	CD39L1|NTPDase-2	protein-coding
955	ENTPD6	20	CD39L2|IL-6SAG|IL6ST2|NTPDase-6|dJ738P15.3	protein-coding
956	ENTPD3	3	CD39L3|HB6|NTPDase-3	protein-coding
957	ENTPD5	14	CD39L4|NTPDase-5|PCPH	protein-coding
958	CD40	20	Bp50|CDW40|TNFRSF5|p50	protein-coding
959	CD40LG	X	CD154|CD40L|HIGM1|IGM|IMD3|T-BAM|TNFSF5|TRAP|gp39|hCD40L	protein-coding
960	CD44	11	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1	protein-coding
961	CD47	3	IAP|MER6|OA3	protein-coding
962	CD48	1	BCM1|BLAST|BLAST1|MEM-102|SLAMF2|hCD48|mCD48	protein-coding
963	CD53	1	MOX44|TSPAN25	protein-coding
965	CD58	1	LFA-3|LFA3|ag3	protein-coding
966	CD59	11	16.3A5|1F5|EJ16|EJ30|EL32|G344|HRF-20|HRF20|MAC-IP|MACIF|MEM43|MIC11|MIN1|MIN2|MIN3|MIRL|MSK21|p18-20	protein-coding
967	CD63	12	LAMP-3|ME491|MLA1|OMA81H|TSPAN30	protein-coding
968	CD68	17	GP110|LAMP4|SCARD1	protein-coding
969	CD69	12	AIM|BL-AC/P26|CLEC2C|EA1|GP32/28|MLR-3	protein-coding
970	CD70	19	CD27-L|CD27L|CD27LG|TNFSF7|TNLG8A	protein-coding
971	CD72	9	CD72b|LYB2	protein-coding
972	CD74	5	DHLAG|HLADG|II|Ia-GAMMA	protein-coding
973	CD79A	19	IGA|MB-1	protein-coding
974	CD79B	17	AGM6|B29|IGB	protein-coding
975	CD81	11	CVID6|S5.7|TAPA1|TSPAN28	protein-coding
976	ADGRE5	19	CD97|TM7LN1	protein-coding
977	CD151	11	GP27|MER2|PETA-3|RAPH|SFA1|TSPAN24	protein-coding
978	CDA	1	CDD	protein-coding
981	CDAN3	15	CDA3|CDAIII	unknown
982	CDB2	10	CDBII|CDTB	unknown
983	CDK1	10	CDC2|CDC28A|P34CDC2	protein-coding
984	CDK11B	1	CDC2L1|CDK11|CDK11-p110|CDK11-p46|CDK11-p58|CLK-1|PITSLREA|PK58|p58|p58CDC2L1|p58CLK-1	protein-coding
987	LRBA	4	BGL|CDC4L|CVID8|LAB300|LBA	protein-coding
988	CDC5L	6	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	protein-coding
989	SEPT7	7	CDC10|CDC3|NBLA02942|SEPT7A	protein-coding
990	CDC6	17	CDC18L|HsCDC18|HsCDC6|MGORS5	protein-coding
991	CDC20	1	CDC20A|bA276H19.3|p55CDC	protein-coding
993	CDC25A	3	CDC25A2	protein-coding
994	CDC25B	20	-	protein-coding
995	CDC25C	5	CDC25|PPP1R60	protein-coding
996	CDC27	17	ANAPC3|APC3|CDC27Hs|D0S1430E|D17S978E|H-NUC|HNUC|NUC2	protein-coding
997	CDC34	19	E2-CDC34|UBC3|UBCH3|UBE2R1	protein-coding
998	CDC42	1	CDC42Hs|G25K|TKS	protein-coding
999	CDH1	16	Arc-1|CD324|CDHE|ECAD|LCAM|UVO	protein-coding
1000	CDH2	18	CD325|CDHN|CDw325|NCAD	protein-coding
1001	CDH3	16	CDHP|HJMD|PCAD	protein-coding
1002	CDH4	20	CAD4|R-CAD|RCAD	protein-coding
1003	CDH5	16	7B4|CD144	protein-coding
1004	CDH6	5	CAD6|KCAD	protein-coding
1005	CDH7	18	CDH7L1	protein-coding
1006	CDH8	16	Nbla04261	protein-coding
1007	CDH9	5	-	protein-coding
1008	CDH10	5	-	protein-coding
1009	CDH11	16	CAD11|CDHOB|OB|OSF-4	protein-coding
1010	CDH12	5	CDHB	protein-coding
1011	CDH12P2	5	C41-CAD|CDH12P	pseudo
1012	CDH13	16	CDHH|P105	protein-coding
1013	CDH15	16	CDH14|CDH3|CDHM|MCAD|MRD3	protein-coding
1014	CDH16	16	-	protein-coding
